全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
182044,0001149,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３２号,32ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001151,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３３号,33ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001153,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３４号,34ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001155,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３５号,35ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001157,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３６号,36ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001159,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３７号,37ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001161,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３８号,38ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001163,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３９号,39ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001165,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３号,3ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
141526,0028003,2,神奈川県,カナガワケン,Kanagawa,,,,相模原市,サガミハラシ,Sagamihara-shi,中央区,チュウオウク,Chuo-ku,相生,アイオイ,Aioi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
192015,0037003,2,山梨県,ヤマナシケン,Yamanashi,,,,甲府市,コウフシ,Kofu-shi,,,,相生,アイオイ,Aioi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
282081,0013003,2,兵庫県,ヒョウゴケン,Hyogo,,,,相生市,アイオイシ,Aioi-shi,,,,相生,アイオイ,,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001167,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,４０号,40ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001169,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,４１号,41ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001171,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,４２号,42ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
