全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
015474,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,斜里郡,シャリグン,Shari-gun,小清水町,コシミズチョウ,Koshimizu-cho,,,
015491,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,常呂郡,トコログン,Tokoro-gun,訓子府町,クンネップチョウ,Kunneppu-cho,,,
015504,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,常呂郡,トコログン,Tokoro-gun,置戸町,オケトチョウ,Oketo-cho,,,
015521,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,常呂郡,トコログン,Tokoro-gun,佐呂間町,サロマチョウ,Saroma-cho,,,
015555,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,遠軽町,エンガルチョウ,Engaru-cho,,,
015598,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,湧別町,ユウベツチョウ,Yubetsu-cho,,,
015601,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,滝上町,タキノウエチョウ,Takinoe-cho,,,
015610,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,興部町,オコッペチョウ,Okoppe-cho,,,
015628,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,西興部村,ニシオコッペムラ,Nishiokoppe-mura,,,
015636,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,紋別郡,モンベツグン,Mombetsu-gun,雄武町,オウムチョウ,Omu-cho,,,
015644,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,網走郡,アバシリグン,Abashiri-gun,大空町,オオゾラチョウ,Ozora-cho,,,
015717,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,豊浦町,トヨウラチョウ,Toyora-cho,,,
015750,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,有珠郡,ウスグン,Usu-gun,壮瞥町,ソウベツチョウ,Sobetsu-cho,,,
015784,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,白老郡,シラオイグン,Shiraoi-gun,白老町,シラオイチョウ,Shiraoi-cho,,,
015814,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,勇払郡,ユウフツグン,Yufutsu-gun,厚真町,アツマチョウ,Atsuma-cho,,,
015849,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,洞爺湖町,トウヤコチョウ,Toyako-cho,,,
015857,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,勇払郡,ユウフツグン,Yufutsu-gun,安平町,アビラチョウ,Abira-cho,,,
015865,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,勇払郡,ユウフツグン,Yufutsu-gun,むかわ町,ムカワチョウ,Mukawa-cho,,,
016012,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,沙流郡,サルグン,Saru-gun,日高町,ヒダカチョウ,Hidaka-cho,,,
